action_id,action_title,sector,city,short_description,long_description,target_group,implementation_owner,partners,indicative_cost,timeline,status,scale_up_potential,tags,source_lap,display_order
COM-12,Digital & AI Inclusion Hub,Digital Inclusion & Skills,Comrat,"Practical digital and AI skills workshops — e-services, remote work, AI tools — hosted in the library and community spaces.","Offer practical workshops helping refugees and residents use digital tools for work, study and services: e-government platforms, digital payments, job platforms, online safety, and AI tools for translation, CV drafting and productivity. Dedicated tracks for women, youth and older persons prepare participants for freelance and higher-skilled work and help diversify the local economy.","Women, youth, older persons, jobseekers",Comrat City Hall + municipal library,ICT partners; NGOs; telecom providers,Low–medium,"2026 onward, rolling",pilot,High — curriculum replicable across all CoS cities,digital;AI;skills;inclusion,Comrat Local Action Plan for Refugee Inclusion (2026),12
EX-01,Refugee Focal Point in City Hall,Governance & Coordination,Adaptable (all cities),Appoint or formally designate a municipal Refugee Focal Point as the main entry point for refugee-related matters.,"Appoint or formally designate a municipal Refugee Focal Point as the main entry point for refugee-related matters. The focal point should understand the legal framework, rights and procedures applicable to refugees, Temporary Protection holders, asylum-seekers and other persons of concern; maintain updated information on needs; make appropriate referrals; support complex cases across departments and national institutions; and strengthen municipal leadership in local coordination structures, including refugee coordination meetings.",,Municipality + partners (to be defined),,To be costed locally,Flexible,concept,Adaptable to any municipality,governance;coordination,Bălți LAP workshop — example action bank,101
EX-02,One-Stop Social Services / Integration Center,Access to Services & Information,Adaptable (all cities),"Gradually expand the Refugee Focal Point into a municipal inclusion and integration center serving refugees, other displaced persons and foreigners more broadly.","Gradually expand the Refugee Focal Point into a municipal inclusion and integration center serving refugees, other displaced persons and foreigners more broadly. Located in City Hall, a library or community hub, the center would consolidate access to information, counseling and referrals through municipal staff and partner organizations, with interpretation and multilingual materials as needed. Over time, it would also help the municipality attract and integrate foreign workers, students and residents, especially where labour shortages and economic zones create demand for a structured local integration function.",,Municipality + partners (to be defined),,To be costed locally,Flexible,concept,Adaptable to any municipality,integration;multi-sector services,Bălți LAP workshop — example action bank,102
EX-03,Inclusive Social Assistance Enrollment,Social Protection & Care,Adaptable (all cities),"Facilitate refugee access to national and municipal social assistance, including child allowances, disability-related support, heating subsidies and other locally available benefits.","Facilitate refugee access to national and municipal social assistance, including child allowances, disability-related support, heating subsidies and other locally available benefits. Municipal social workers, ATAS/STAS and protection partners would provide outreach, multilingual information, application support and accompaniment for complex cases. The action should also document recurring barriers and raise them through municipal-national coordination channels, helping prevent destitution while strengthening the local safety net for vulnerable refugee and host-community households.",,Municipality + partners (to be defined),,To be costed locally,Flexible,concept,Adaptable to any municipality,social protection,Bălți LAP workshop — example action bank,103
EX-04,Emergency Aid Fund for Refugee Families,Social Protection & Care,Adaptable (all cities),Establish or expand a small municipal emergency fund for refugee and low-income local households facing acute hardship.,"Establish or expand a small municipal emergency fund for refugee and low-income local households facing acute hardship. Support could include food, heating, clothing, urgent transport, temporary shelter or one-off payments linked to sudden loss of housing, winter risks or other shocks. The fund should be transparent, time-bound and managed with trusted NGOs, community foundations, faith groups or the Red Cross, using municipal allocations, donor grants and charitable contributions.",,Municipality + partners (to be defined),,To be costed locally,Flexible,concept,Adaptable to any municipality,social protection;crisis response,Bălți LAP workshop — example action bank,104
EX-05,Integrated Community Care & Buddy Network,Social Protection & Care,Adaptable (all cities),"Upgrade local care for older persons, persons with disabilities, single caregivers and isolated residents by linking facility improvements with home-based support and trained volunteers.","Upgrade local care for older persons, persons with disabilities, single caregivers and isolated residents by linking facility improvements with home-based support and trained volunteers. Social workers, nurses and community buddies could provide home visits, well-being checks, medication reminders, hygiene and food-access support, companionship, practical help and referrals. The model can connect vulnerable residents to intergenerational activities, digital inclusion support and community life, while reducing pressure on families and formal institutions.",,Municipality + partners (to be defined),,To be costed locally,Flexible,concept,Adaptable to any municipality,social protection;health;community support,Bălți LAP workshop — example action bank,105
EX-06,Inclusive Health Access & Health Mediation,Health,Adaptable (all cities),Strengthen access to primary and specialized healthcare through health mediators or support desks at family health centers.,"Strengthen access to primary and specialized healthcare through health mediators or support desks at family health centers. Activities would include help with family-doctor registration, clarification of rights and entitlements under Temporary Protection and other statuses, support with insurance-related issues, and referral pathways for chronic illness, disability, rehabilitation, autism-related and other specialized cases. The action should also address practical barriers such as transport costs, queues, language and administrative confusion.",,Municipality + partners (to be defined),,To be costed locally,Flexible,concept,Adaptable to any municipality,healthcare;social protection,Bălți LAP workshop — example action bank,106
EX-07,Mobile Health Outreach & Screenings,Health,Adaptable (all cities),"Organize regular mobile health visits to neighborhoods, RACs or nearby communities with high refugee presence or limited access to facilities.","Organize regular mobile health visits to neighborhoods, RACs or nearby communities with high refugee presence or limited access to facilities. Services may include vaccinations, pediatric check-ups, maternal health consultations, TB/HIV screening, chronic disease monitoring, mental-health referrals, disability-related assessment and basic health education. Outreach should be coordinated with family doctors, public health centers, social assistance teams and NGOs so that mobile visits connect people into formal follow-up pathways.",,Municipality + partners (to be defined),,To be costed locally,Flexible,concept,Adaptable to any municipality,healthcare;outreach services,Bălți LAP workshop — example action bank,107
EX-08,Health Workforce Attraction & Telemedicine,Health,Adaptable (all cities),"Strengthen local healthcare capacity by attracting and retaining doctors, nurses and specialized staff, including qualified Ukrainian professionals where legally possible.","Strengthen local healthcare capacity by attracting and retaining doctors, nurses and specialized staff, including qualified Ukrainian professionals where legally possible. The municipality could support service housing or temporary accommodation, recruitment and credentialing, while equipping a telemedicine point in a polyclinic or hospital to connect patients with specialists in larger cities. This reduces unnecessary travel and allows complex cases identified through social assistance or outreach teams to receive timely remote consultations and follow-up.",,Municipality + partners (to be defined),,To be costed locally,Flexible,concept,Adaptable to any municipality,healthcare;workforce;digital access,Bălți LAP workshop — example action bank,108
EX-09,Public Transport Support,Mobility,Adaptable (all cities),"Provide free or discounted public transport passes to refugees, students, jobseekers, older persons, persons with disabilities and low-income households who need help accessing schools, healthcare, employment opportunities and integration activities.","Provide free or discounted public transport passes to refugees, students, jobseekers, older persons, persons with disabilities and low-income households who need help accessing schools, healthcare, employment opportunities and integration activities. Support can be time-bound and linked to participation in education, employment, language courses or medical appointments. It reduces the hidden cost of inclusion, especially for households living in peripheral areas or relying on expensive taxis for essential trips.",,Municipality + partners (to be defined),,To be costed locally,Flexible,concept,Adaptable to any municipality,mobility;social inclusion,Bălți LAP workshop — example action bank,109
EX-10,Social Taxi & Community Shuttle,Mobility,Adaptable (all cities),Establish a targeted municipal mobility service that complements regular public transport.,"Establish a targeted municipal mobility service that complements regular public transport. A small accessible vehicle or social taxi could provide on-demand trips for people with severe mobility limitations, older persons, persons with disabilities and urgent medical needs, while a scheduled community shuttle could link peripheral neighborhoods or nearby villages to schools, clinics and municipal services. Eligibility should be simple, transparent and linked to social assistance or referral mechanisms.",,Municipality + partners (to be defined),,To be costed locally,Flexible,concept,Adaptable to any municipality,mobility;social services,Bălți LAP workshop — example action bank,110
EX-11,Shelters & Safe Spaces for Protection Cases,Protection,Adaptable (all cities),Support safe accommodation and referral options for refugee and local women and children at risk of gender-based violence or other serious protection concerns.,"Support safe accommodation and referral options for refugee and local women and children at risk of gender-based violence or other serious protection concerns. The municipality can provide financial or in-kind support to shelters, crisis apartments or women's NGOs, while agreeing referral protocols, transport arrangements, psychosocial support, legal counseling and safe-disclosure training for frontline staff. Safe spaces should link survivors to childcare, housing, livelihoods and longer-term social support where needed.",,Municipality + partners (to be defined),,To be costed locally,Flexible,concept,Adaptable to any municipality,protection;gbv response,Bălți LAP workshop — example action bank,111
EX-12,"Social Canteens, Food Aid & Meals-on-Wheels",Food Security & Livelihoods,Adaptable (all cities),"Establish or expand community canteens, food boxes, vouchers or meal-delivery support for vulnerable refugees, older persons, low-income families and persons with disabilities.","Establish or expand community canteens, food boxes, vouchers or meal-delivery support for vulnerable refugees, older persons, low-income families and persons with disabilities. Municipal authorities can provide space, utilities and coordination, while NGOs, faith groups, schools, community kitchens or donors support preparation and distribution. Where possible, food aid should connect to community gardens, nutrition education, social care visits and employment pathways, so it becomes part of a broader inclusion model rather than stand-alone assistance.",,Municipality + partners (to be defined),,To be costed locally,Flexible,concept,Adaptable to any municipality,food security;social protection,Bălți LAP workshop — example action bank,112
EX-13,Employment Integration & Skills Hub,Livelihoods & Employment,Adaptable (all cities),"Establish a one-stop Employment Integration Hub to support refugees and vulnerable locals through job counseling, vocational orientation, employer outreach, skills certification, referrals to apprenticeships and recognition of foreign qualifications.","Establish a one-stop Employment Integration Hub to support refugees and vulnerable locals through job counseling, vocational orientation, employer outreach, skills certification, referrals to apprenticeships and recognition of foreign qualifications. The hub can also provide Romanian language support linked to occupations, CV preparation, interview coaching and help with administrative or legal employment barriers. Hosted in a business incubator, employment office, library or community center, it should connect jobseekers to priority local sectors and feed employer needs back into municipal planning.",,Municipality + partners (to be defined),,To be costed locally,Flexible,concept,Adaptable to any municipality,employment;social protection,Bălți LAP workshop — example action bank,113
EX-14,School Infrastructure Rehabilitation & Energy Efficiency Upgrade,Education & Childcare,Adaptable (all cities),Renovate and adapt selected schools to improve learning conditions for refugee and host-community students.,"Renovate and adapt selected schools to improve learning conditions for refugee and host-community students. Works may include insulation, roof and window replacement, LED lighting, efficient heating, accessibility upgrades, flexible classrooms and multi-use rooms for arts, science, after-school tutoring or community activities. Investments reduce maintenance costs, improve comfort, support mixed enrollment and create facilities that can host inclusive education and social cohesion activities beyond regular school hours.",,Municipality + partners (to be defined),,To be costed locally,Flexible,concept,Adaptable to any municipality,education;infrastructure,Bălți LAP workshop — example action bank,114
EX-15,Childcare Inclusion & Facilities Rehabilitation,Education & Childcare,Adaptable (all cities),"Expand access to early childhood education by rehabilitating or equipping kindergartens, opening additional groups where demand exists, and making spaces more inclusive for refugee and local children.","Expand access to early childhood education by rehabilitating or equipping kindergartens, opening additional groups where demand exists, and making spaces more inclusive for refugee and local children. Support may include fee waivers, bilingual aides, inclusive materials, staff training and accessibility improvements. Where construction is too costly or demand is dispersed, the municipality can pilot supervised community-based childminding groups in safe community spaces or homes, freeing caregivers, especially mothers, to work or study.",,Municipality + partners (to be defined),,To be costed locally,Flexible,concept,Adaptable to any municipality,childcare;infrastructure,Bălți LAP workshop — example action bank,115
EX-16,Inclusive Early Education Outreach,Education & Childcare,Adaptable (all cities),"Proactively identify refugee children who are not enrolled in kindergarten or primary school and support their registration through outreach, case referrals and administrative assistance.","Proactively identify refugee children who are not enrolled in kindergarten or primary school and support their registration through outreach, case referrals and administrative assistance. Municipal social workers, school directors, health visitors and NGO teams can coordinate home visits, parent information sessions and accompaniment through registration. The action should address barriers linked to documents, language, transport, costs, disability or parental concerns, ensuring every eligible child is connected to nearby education and early-development opportunities.",,Municipality + partners (to be defined),,To be costed locally,Flexible,concept,Adaptable to any municipality,education;child protection,Bălți LAP workshop — example action bank,116
EX-17,Community Learning Hubs & Exam Support,Education & Childcare,Adaptable (all cities),"Establish catch-up classes, Community Learning Hubs and subject-specific tutoring for refugee and vulnerable local children affected by interrupted schooling or language barriers.","Establish catch-up classes, Community Learning Hubs and subject-specific tutoring for refugee and vulnerable local children affected by interrupted schooling or language barriers. Activities can focus on Romanian language, mathematics, science, literacy and exam preparation for Grade 9 and Baccalaureate requirements. Sessions may be delivered after school, during holidays or in libraries, using teachers, NGO educators, university students and qualified refugee teachers. A structured zero-to-exam Romanian stream can reduce dropout risk.",,Municipality + partners (to be defined),,To be costed locally,Flexible,concept,Adaptable to any municipality,education;youth inclusion,Bălți LAP workshop — example action bank,117
EX-18,"Talent Fund, Scholarships & Service Learning",Education & Childcare,Adaptable (all cities),"Partner with local universities, colleges and vocational institutions to provide scholarships, tuition waivers or living-stipend top-ups for refugee and vulnerable local youth.","Partner with local universities, colleges and vocational institutions to provide scholarships, tuition waivers or living-stipend top-ups for refugee and vulnerable local youth. Support should combine academic potential with vulnerability, so students are not forced to abandon studies for survival work. Scholarships can be linked to mentorship, career guidance and service-learning commitments, such as tutoring younger students or supporting learning hubs, turning beneficiaries into contributors to local inclusion efforts.",,Municipality + partners (to be defined),,To be costed locally,Flexible,concept,Adaptable to any municipality,education;youth inclusion,Bălți LAP workshop — example action bank,118
EX-19,Vocational Training in Schools,Education & Childcare,Adaptable (all cities),"Integrate vocational orientation, applied STEM exposure and practical skills training into secondary schools and youth programs, with a focus on locally relevant sectors such as IT, agriculture, food processing, logistics, services, care work and green jobs.","Integrate vocational orientation, applied STEM exposure and practical skills training into secondary schools and youth programs, with a focus on locally relevant sectors such as IT, agriculture, food processing, logistics, services, care work and green jobs. The program can include career guidance, workplace visits, guest instruction from businesses or universities, apprenticeships, short certifications and links to vocational education centers. It equips refugee and local youth with job-ready skills, introduces them to future-oriented fields, responds to local labour gaps and creates smoother school-to-work pathways.",,Municipality + partners (to be defined),,To be costed locally,Flexible,concept,Adaptable to any municipality,education;employment,Bălți LAP workshop — example action bank,119
EX-20,Device Donation & Digital Libraries,Digital Inclusion & Skills,Adaptable (all cities),"Launch a device donation and lending initiative to reduce the digital gap for refugee students, jobseekers and vulnerable families.","Launch a device donation and lending initiative to reduce the digital gap for refugee students, jobseekers and vulnerable families. The municipality can collect donated smartphones, tablets and laptops from businesses and residents, refurbish them with IT volunteers or partners, and lend them through schools, libraries or community centers. Borrowing can be linked to basic digital skills, online safety, e-services, CV preparation, study support and connectivity sponsorship from telecom providers.",,Municipality + partners (to be defined),,To be costed locally,Flexible,concept,Adaptable to any municipality,digital inclusion;education,Bălți LAP workshop — example action bank,120
EX-21,Digital Empowerment & AI Skills Workshops,Digital Inclusion & Skills,Adaptable (all cities),"Offer practical workshops that help refugees and local residents use digital tools for work, study and services.","Offer practical workshops that help refugees and local residents use digital tools for work, study and services. Sessions can cover Moldova's e-government platforms, digital payments, online appointments, job-matching platforms, digital CVs, remote work platforms, online safety, and AI tools for translation, resume drafting, language learning and productivity. Special tracks can target women, youth, older persons and people with backgrounds in administration, education or tech, delivered through libraries, ICT centers, youth clubs and NGOs. For youth, the offer could also include coding clubs, robotics or science workshops, and practical STEM activities linked to AI, digital problem-solving and future employment pathways.",,Municipality + partners (to be defined),,To be costed locally,Flexible,concept,Adaptable to any municipality,digital skills;economic inclusion,Bălți LAP workshop — example action bank,121
EX-22,Women's Entrepreneurship & Social Enterprise Support,Livelihoods & Employment,Adaptable (all cities),"Support refugee and local women to start or expand micro-businesses, cooperatives or social enterprises.","Support refugee and local women to start or expand micro-businesses, cooperatives or social enterprises. The program can combine business training, mentoring, legal and start-up advice, childcare-friendly formats, micro-grants, buyer days, supplier onboarding and referrals to national SME or employment instruments where eligible. A municipal inclusion layer would help women overcome language, childcare, documentation, market-access and confidence barriers while building peer networks and social cohesion.",,Municipality + partners (to be defined),,To be costed locally,Flexible,concept,Adaptable to any municipality,employment;economic inclusion,Bălți LAP workshop — example action bank,122
EX-23,Municipal Job Fairs & Private Sector Partnerships,Livelihoods & Employment,Adaptable (all cities),"Organize inclusive job fairs and networking events to connect refugee jobseekers with local employers in sectors such as manufacturing, services, care work, retail, IT, logistics and food processing.","Organize inclusive job fairs and networking events to connect refugee jobseekers with local employers in sectors such as manufacturing, services, care work, retail, IT, logistics and food processing. Events can include CV support, information on legal employment, direct employer interviews and orientation booths from employment offices and NGOs. The municipality can also convene sector roundtables, map labour shortages and publicly recognize employers that hire inclusively.",,Municipality + partners (to be defined),,To be costed locally,Flexible,concept,Adaptable to any municipality,employment;private sector engagement,Bălți LAP workshop — example action bank,123
EX-24,Refugee Hiring Incentive Program,Livelihoods & Employment,Adaptable (all cities),"Develop a local incentive scheme to encourage businesses to hire refugees and vulnerable locals through modest wage subsidies, onboarding support, mentorship, tax or fee-related incentives where legally possible, or public recognition through Inclusive Employer awards.","Develop a local incentive scheme to encourage businesses to hire refugees and vulnerable locals through modest wage subsidies, onboarding support, mentorship, tax or fee-related incentives where legally possible, or public recognition through Inclusive Employer awards. The program should be coordinated with employment authorities, the Ministry of Economic Development and Digitalization, business associations and donors, with safeguards against substitution, informal work or short-term exploitation.",,Municipality + partners (to be defined),,To be costed locally,Flexible,concept,Adaptable to any municipality,employment;private sector engagement,Bălți LAP workshop — example action bank,124
EX-25,Refugee Caregiver Engagement,Education & Childcare,Adaptable (all cities),"Engage skilled refugee parents, especially those with backgrounds in education, childcare, psychology or care work, as assistant caregivers, classroom aides, volunteers or trainees in kindergartens, early learning centers and childminding groups.","Engage skilled refugee parents, especially those with backgrounds in education, childcare, psychology or care work, as assistant caregivers, classroom aides, volunteers or trainees in kindergartens, early learning centers and childminding groups. Following vetting and short training, participants can support classroom activities, language bridging, parent communication and inclusion of refugee children. The initiative eases staffing gaps while giving refugee caregivers local work experience, references and a pathway to formal employment or certification.",,Municipality + partners (to be defined),,To be costed locally,Flexible,concept,Adaptable to any municipality,early childhood education;livelihoods,Bălți LAP workshop — example action bank,125
EX-26,"Public Works, Internships & Green Municipal Jobs",Livelihoods & Employment,Adaptable (all cities),Create short-term paid public works and municipal internship opportunities for refugees and vulnerable locals.,"Create short-term paid public works and municipal internship opportunities for refugees and vulnerable locals. Roles can include park maintenance, waste separation pilots, lake or river cleanup, tree planting, public-space upkeep, administrative support, community outreach and data collection. Participants should receive fair wages, safety training, skills certificates and referrals to longer-term employment, while the city benefits from visible improvements to public infrastructure and environmental conditions.",,Municipality + partners (to be defined),,To be costed locally,Flexible,concept,Adaptable to any municipality,employment;municipal services,Bălți LAP workshop — example action bank,126
EX-27,"Agri-Social Hub, Community Kitchen & Eco-Market",Food Security & Livelihoods,Adaptable (all cities),"Develop an agri-food and social inclusion hub that combines a community garden or greenhouse, a municipal or partner kitchen, food assistance and small-scale livelihoods.","Develop an agri-food and social inclusion hub that combines a community garden or greenhouse, a municipal or partner kitchen, food assistance and small-scale livelihoods. Refugees and local residents could grow produce, prepare meals, join farm-to-table cooking or preservation classes, support a social canteen or meals-on-wheels function, and sell selected products through a periodic eco-market. The model links food security, practical skills, social cohesion and local producer visibility in one package.",,Municipality + partners (to be defined),,To be costed locally,Flexible,concept,Adaptable to any municipality,food security;livelihoods;social cohesion,Bălți LAP workshop — example action bank,127
EX-28,Expansion of the Social Housing Stock,Housing & Infrastructure,Adaptable (all cities),"Rehabilitate vacant or underused public buildings, dormitory spaces or municipal land to create affordable social housing units for vulnerable local and refugee families.","Rehabilitate vacant or underused public buildings, dormitory spaces or municipal land to create affordable social housing units for vulnerable local and refugee families. The action should include basic utilities, accessibility where possible, energy-efficiency measures and transparent eligibility criteria that allow Temporary Protection holders to be considered where legally feasible. Even a small pilot can show how municipal assets can be converted into dignified, mixed-community housing.",,Municipality + partners (to be defined),,To be costed locally,Flexible,concept,Adaptable to any municipality,housing,Bălți LAP workshop — example action bank,128
EX-29,Municipal Social Rental Agency & Housing Mediation,Housing & Infrastructure,Adaptable (all cities),Establish a municipal mechanism to connect vulnerable tenants with private landlords in a structured and trusted way.,"Establish a municipal mechanism to connect vulnerable tenants with private landlords in a structured and trusted way. The agency would recruit property owners, maintain a registry of affordable units, formalize leases, offer mediation, support tenure security and provide rental counseling. A small guarantee fund could cover deposits, minor repairs, emergency payments or damage protection, helping reduce discrimination while making private rentals safer for both households and landlords.",,Municipality + partners (to be defined),,To be costed locally,Flexible,concept,Adaptable to any municipality,housing,Bălți LAP workshop — example action bank,129
EX-30,Public-Private Housing Projects,Housing & Infrastructure,Adaptable (all cities),"Develop mixed-income affordable housing through partnerships with private developers, employers, investors and development finance institutions.","Develop mixed-income affordable housing through partnerships with private developers, employers, investors and development finance institutions. The municipality can contribute land, an unused public asset or infrastructure connections, while private partners finance or construct housing. A share of units would be reserved for vulnerable local households and refugees, while other units cross-subsidize operations. PPP contracts can bundle energy-efficiency upgrades, water and sewer connections, access roads and maintenance obligations.",,Municipality + partners (to be defined),,To be costed locally,Flexible,concept,Adaptable to any municipality,housing;urban development,Bălți LAP workshop — example action bank,130
EX-31,Neighborhood Infrastructure Upgrades,Housing & Infrastructure,Adaptable (all cities),Improve infrastructure and public services in underserved neighborhoods with high concentrations of refugee and vulnerable host populations.,"Improve infrastructure and public services in underserved neighborhoods with high concentrations of refugee and vulnerable host populations. Works may include road and sidewalk repairs, street lighting, safe walking routes, basic cycling links, green spaces, drainage, water and sanitation upgrades, playgrounds and public seating. Where feasible, investments should include solar lighting, shade, permeable surfaces and nature-based solutions, upgrading shared spaces used by all residents rather than creating separate refugee facilities.",,Municipality + partners (to be defined),,To be costed locally,Flexible,concept,Adaptable to any municipality,urban planning;basic services,Bălți LAP workshop — example action bank,131
